IN_DATA_x,FAC_ID,OWN_ID,UNIT_ID,REGIME,U_CAP,U_SUM_HR,U_AGE,U_SUM_CF,PRE_RET_MNEMI,D_SCR,D_SNCR,D_LN,D_CM,D_NO,C_CM,C_NONE,C_LN,C_SC,C_SN,REG_x,PUB_x,UNREG_x,REG_y,PUB_y,UNREG_y,IN_DATA_y,MW_04,PRE_MW,CM_MW,LN_MW,SN_MW,SC_MW
1,32,39.0,2,3,34.0,15167.08,36.0,27.55556,0.76324,0,0,0,0,1,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,113489.9,23233.59,0.0,0.0,0.0,0.0
1,32,39.0,3,3,34.0,15321.3,36.0,35.58621,0.9715129,0,0,0,0,1,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,110669.0,17347.03,0.0,0.0,0.0,0.0
1,32,39.0,4,3,170.0,13548.33,21.0,72.37931,0.8641859,1,0,0,0,0,0.0,0.0,0.0,170.0,0.0,0.0,1.0,0.0,0,1,0,1,476004.5,444797.4,0.0,0.0,0.0,444797.4
1,33,47.0,1,2,197.0,12222.78,44.0,63.79167,0.2086656,0,0,0,0,1,0.0,197.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,438188.5,480770.5,0.0,0.0,0.0,0.0
1,33,47.0,2,2,318.0,11108.5,37.0,58.46154,0.8318389,0,0,0,1,0,318.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,824550.8,752349.3,0.0,0.0,0.0,0.0
1,34,51.0,1,2,207.0,10658.33,44.0,79.0,0.6401423,1,0,0,0,0,0.0,0.0,0.0,207.0,0.0,1.0,0.0,0.0,1,0,0,1,623317.3,458158.6,0.0,0.0,0.0,458158.6
1,34,51.0,2,2,208.0,10692.08,44.0,75.26667,0.7060075,1,0,0,0,0,0.0,0.0,0.0,208.0,0.0,1.0,0.0,0.0,1,0,0,1,578381.6,522891.1,0.0,0.0,0.0,522891.1
1,34,51.0,3,2,204.0,10601.25,44.0,78.86667,0.637445,1,0,0,0,0,0.0,0.0,0.0,204.0,0.0,1.0,0.0,0.0,1,0,0,1,573986.7,434095.5,0.0,0.0,0.0,434095.5
1,34,51.0,4,2,203.0,9886.667,44.0,79.66666,0.6373053,1,0,0,0,0,0.0,0.0,0.0,203.0,0.0,1.0,0.0,0.0,1,0,0,1,577158.8,547818.5,0.0,0.0,0.0,547818.5
1,34,51.0,5,2,209.0,10046.25,44.0,79.78571,0.6320035,1,0,0,0,0,0.0,0.0,0.0,209.0,0.0,1.0,0.0,0.0,1,0,0,1,645294.1,491358.2,0.0,0.0,0.0,491358.2
1,34,51.0,6,2,204.0,10035.42,43.0,73.72414,0.8848072,0,0,0,1,0,204.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,517918.5,522644.3,522644.3,0.0,0.0,0.0
1,35,38.0,1,2,140.0,10672.08,48.0,63.2,0.6907219,0,0,0,0,1,0.0,140.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,186333.5,341007.1,0.0,0.0,0.0,0.0
1,35,38.0,2,2,140.0,10737.5,47.0,60.26667,0.6782651,0,0,0,0,1,0.0,140.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,322828.1,337880.3,0.0,0.0,0.0,0.0
1,35,38.0,3,2,200.0,10462.92,45.0,62.63334,0.685192,0,0,0,0,1,0.0,200.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,414609.3,479460.7,0.0,0.0,0.0,0.0
1,35,38.0,4,2,500.0,9855.454,35.0,70.60714,1.409461,0,0,0,1,0,500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1308483.0,1337879.0,0.0,0.0,0.0,0.0
1,36,26.0,1,2,106.0,12362.17,41.0,64.34483,0.4075292,0,1,0,0,0,0.0,0.0,0.0,0.0,106.0,1.0,0.0,0.0,1,0,0,1,230709.5,252231.7,0.0,0.0,252231.7,0.0
1,36,26.0,2,2,106.0,11530.42,38.0,62.76667,0.377785,0,1,0,0,0,0.0,0.0,0.0,0.0,106.0,1.0,0.0,0.0,1,0,0,1,252435.0,255318.0,0.0,0.0,255318.0,0.0
1,36,26.0,3,2,435.0,10348.75,26.0,66.3,0.328534,1,0,0,0,0,0.0,0.0,0.0,435.0,0.0,1.0,0.0,0.0,1,0,0,1,1101736.0,999397.0,0.0,0.0,0.0,999397.0
1,37,26.0,1,2,43.0,12419.58,48.0,64.16666,0.6633904,0,0,0,0,1,0.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,79067.34,97321.59,0.0,0.0,0.0,0.0
1,37,26.0,2,2,56.0,12622.5,46.0,56.06667,0.6445431,0,0,1,0,0,0.0,0.0,56.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,112778.0,125667.6,0.0,125667.6,0.0,0.0
1,37,26.0,3,2,62.0,11639.58,46.0,48.53333,0.3957754,0,0,1,0,0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,144244.4,127247.0,0.0,127247.0,0.0,0.0
1,37,26.0,4,2,99.0,11092.92,43.0,62.43333,0.400235,0,0,0,0,1,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,252594.0,236151.6,0.0,0.0,0.0,0.0
1,38,26.0,1,2,232.0,10997.92,32.0,81.3,0.2880563,0,0,0,0,1,0.0,232.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,653294.9,686463.2,0.0,0.0,0.0,0.0
1,38,26.0,2,2,407.0,11447.5,30.0,76.96667,0.2517889,1,0,0,0,0,0.0,0.0,0.0,407.0,0.0,1.0,0.0,0.0,1,0,0,1,1218654.0,1249300.0,0.0,0.0,0.0,1249300.0
1,38,26.0,3,2,510.0,10415.22,22.0,86.96552,0.3290014,1,0,0,0,0,0.0,0.0,0.0,510.0,0.0,1.0,0.0,0.0,1,0,0,1,1433148.0,1289650.0,0.0,0.0,0.0,1289650.0
1,38,26.0,4,2,545.0,10799.13,13.0,74.44827,0.3068608,0,0,0,0,1,0.0,545.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1499335.0,1499496.0,0.0,0.0,0.0,0.0
1,39,11.0,1,2,160.0,12079.17,37.0,70.7,1.430286,0,0,0,1,0,160.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,384583.5,413706.9,0.0,0.0,0.0,0.0
1,39,11.0,2,2,320.0,11855.42,31.0,68.06667,1.283077,1,0,0,0,0,0.0,0.0,0.0,320.0,0.0,1.0,0.0,0.0,1,0,0,1,960068.1,743400.6,0.0,0.0,0.0,743400.6
1,41,11.0,1,2,469.0,11416.52,25.0,64.25,0.5609603,1,0,0,0,0,0.0,0.0,0.0,469.0,0.0,1.0,0.0,0.0,1,0,0,1,1118442.0,935688.4,0.0,0.0,0.0,935688.4
1,42,7.0,1,2,500.0,10540.87,29.0,76.20689,0.3278125,0,0,0,0,1,0.0,500.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1349643.0,1400749.0,0.0,0.0,0.0,0.0
1,42,7.0,2,2,495.0,18711.3,27.0,72.40741,0.3029222,0,0,0,0,1,0.0,495.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1388490.0,1320399.0,0.0,0.0,0.0,0.0
1,44,7.0,1,2,140.0,9829.546,40.0,67.42857,0.4272471,0,0,0,0,1,0.0,140.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,239540.9,319311.2,0.0,0.0,0.0,0.0
1,44,7.0,2,2,140.0,9965.833,41.0,67.86667,0.4235767,0,0,0,0,1,0.0,140.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,302842.1,337254.5,0.0,0.0,0.0,0.0
